sku,nombre,precio,marca,stock,categoria_real
DS-2CD2423G0-IW,DS-2CD2423G0-IW  Camara IP WIFI Cubo 2MP 2.8mm Interior (7290),61.0,Hikvision,5,Cámaras
DS-2CV2021G2-IDW,DS-2CV2021G2-IDW  Cámara IP WIFI Bullet 2MP Audio (4103),65.2,Hikvision,7,Otros
DS-7604NXI-K1,DS-7604NXI-K1  NVR 4-Ch 4K AcuSense (5146),103.05,Hikvision,0,NVR
DS-7608NXI-K2,DS-7608NXI-K2  NVR 8-ch 4K 1U AcuSense (5191),155.5,Hikvision,18,NVR
CA-1Y4-00,Gabinete TT The Tower 300 Mid-Tower TG x3 Fan x2 Hydrangea Blue (1112),146.16,THERMALTAKE,11,Gabinetes
7WQ01A,HP Deskjet Advantage 2375 (MF) (7897),62.71,HP,0,Impresoras
MR70X,MR70X Router Wir Mercusys Gigabit  AX1800  4 Ant (0509),29.34,TP-Link,17,Routers
81H23LT,Notebook HP 250 G10 i3-1315U 15 8GB/256 PC FreeDOs (1930),372.99,HP,19,Notebooks
82XM00M8AR,"Notebook Lenovo IP Slim 3 15ABR8 15.6"" FHD AMD R7 5825U 16GB 3200MHZ DDR4 512GB NVME W11H (3576)",670.48,LENOVO,22,Notebooks
HS-USB-M200S,Pen Drive HIKSEMI 128Gb M200S Rotary USB 3.0 (6959),11.33,Hiksemi,8,Almacenamiento
